participant_id,displayCondition,socialCondition,dimensionOrder,displayOrder,experiment_phase,response,rankOrder,orderedRanks
1,integrated,superior,"Direction,Status,Craft,Speed,Role","1,3,2,4,0",verbal_report_textbox_phase2,I think I decided exactly about the craft,"Direction,Craft,Role,Status,Speed","1,3,3,5,5"
1,integrated,superior,"Direction,Status,Craft,Speed,Role","1,3,2,4,0",verbal_report_textbox_phase3,I was considering speed and role,"Status,Craft,Role,Direction,Speed","1,2,2,2,4"
2,integrated,superior,"Speed,Status,Direction,Craft,Role","2,1,4,0,3",verbal_report_textbox_phase2,"Damaged crafts, going left or with slow speed were indication that the craft was hostile.","Speed,Direction,Role,Craft,Status","1,2,3,4,5"
2,integrated,superior,"Speed,Status,Direction,Craft,Role","2,1,4,0,3",verbal_report_textbox_phase3,"I tried to focus on staus and type of craft. Decoy ones were mostly firendly, while damaged crafts were mostly hostile.","Status,Role,Craft,Direction,Speed","1,2,3,4,5"
3,integrated,superior,"Speed,Direction,Craft,Status,Role","4,2,3,1,0",verbal_report_textbox_phase2,Speed is main thing n my opinion which decide about safety in traveling. Most of accidents with high speed has more percentage chance to be dangerous. Autonomic is also important thing. Human is only human and can't decide as fast as computer. Autonomic vehicles in the future will be safer than vehicles where the driver is human. ,"Direction,Role,Craft,Speed,Status","1,3,4,4,5"
3,integrated,superior,"Speed,Direction,Craft,Status,Role","4,2,3,1,0",verbal_report_textbox_phase3,Traveling damaged vehicle is more dangerous of course so thats why i decided crafts which wasn't damaged. ,"Direction,Craft,Role,Speed,Status","1,2,4,4,5"
3,integrated,superior,"Craft,Role,Status,Speed,Direction","4,1,0,3,2",verbal_report_textbox_phase2,Speed is main thing n my opinion which decide about safety in traveling. Most of accidents with high speed has more percentage chance to be dangerous. Autonomic is also important thing. Human is only human and can't decide as fast as computer. Autonomic vehicles in the future will be safer than vehicles where the driver is human. ,"Direction,Role,Craft,Speed,Status","1,3,4,4,5"
3,integrated,superior,"Craft,Role,Status,Speed,Direction","4,1,0,3,2",verbal_report_textbox_phase3,Traveling damaged vehicle is more dangerous of course so thats why i decided crafts which wasn't damaged. ,"Direction,Craft,Role,Speed,Status","1,2,4,4,5"
4,integrated,superior,"Status,Direction,Speed,Craft,Role","2,3,4,0,1",verbal_report_textbox_phase2,"Based on the speed, direction and damage","Craft,Role,Direction,Status,Speed","3,4,4,5,5"
4,integrated,superior,"Status,Direction,Speed,Craft,Role","2,3,4,0,1",verbal_report_textbox_phase3,based on the damage ,"Craft,Direction,Speed,Role,Status","2,2,4,5,5"
