"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","correct"
"721.5500000020256","Welcome to the experiment. Press any key to begin.","32","html-keyboard-response","0","722","0.0-0.0","","",""
"105.93499999959022","<p>In this experiment, a circle will appear in the center of the screen.</p><p>If the circle is <strong>blue</strong>, press the letter F on the keyboard as fast as you can.</p><p>If the circle is <strong>orange</strong>, press the letter J as fast as you can.</p><div style='width: 700px;'><div style='float: left;'><img src='img/blue.png'></img><p class='small'><strong>Press the F key</strong></p></div><div class='float: right;'><img src='img/orange.png'></img><p class='small'><strong>Press the J key</strong></p></div></div><p>Press any key to begin.</p>","65","html-keyboard-response","1","830","0.0-1.0","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","2333","0.0-2.0-0.0","fixation","",""
"769.6649999998044","img/orange.png","74","image-keyboard-response","3","3106","0.0-2.0-1.0","test","j","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","5115","0.0-2.0-0.1","fixation","",""
"605.9349999995902","img/blue.png","70","image-keyboard-response","5","5723","0.0-2.0-1.1","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","6732","0.0-2.0-0.2","fixation","",""
"451.6399999993155","img/blue.png","70","image-keyboard-response","7","7185","0.0-2.0-1.2","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","8733","0.0-2.0-0.3","fixation","",""
"385.4649999993853","img/orange.png","74","image-keyboard-response","9","9119","0.0-2.0-1.3","test","j","true"
"1080.535000000964","<p>You responded correctly on 100% of the trials.</p><p>Your average response time was 553ms.</p><p>Press any key to complete the experiment. Thank you!</p>","32","html-keyboard-response","10","10201","0.0-3.0","","",""
